name,company,street,postcode,city,country,capacity,energy_source,technology,chp,commissioned,type,lat,lon,eic_code,energy_source_level_1,energy_source_level_2,energy_source_level_3,additional_info,comment,source
"Val Giuf",,,,Rueras,CH,1.5,Hydro,Run-of-river,,1979,,46.6713364433,8.75072947495,,"Renewable energy",Hydro,,,,BFE
"Sedrun 1",,,,Sedrun,CH,150,Hydro,Reservoir,,2011,,46.670049651,8.76860353742,12W-0000000021-S,"Renewable energy",Hydro,,,"- Zentralen Sedrun 1 und Sedrun 2 in einer Kaverne; ",BFE
"Sedrun 2",,,,Sedrun,CH,0.75,Hydro,Run-of-river,,1968,,46.670049651,8.76860353742,12W-0000000021-S,"Renewable energy",Hydro,,,"- Zentralen Sedrun 1 und Sedrun 2 in einer Kaverne; ",BFE
"Tavanasa (KVR)",,,,Tavanasa,CH,180,Hydro,Reservoir,,1962,,46.7510368203,9.04692392804,12W-0000000021-S,"Renewable energy",Hydro,,,,BFE
Russein,,,,Somvix,CH,24.87,Hydro,Run-of-river,,2015,,46.7202818447,8.89856834691,,"Renewable energy",Hydro,,,,BFE
Ferrera,,,,Trun,CH,4.23,Hydro,Run-of-river,,1999,,46.7435050176,8.98649363197,12W-0000000016-H,"Renewable energy",Hydro,,,,BFE
Trun,,,,Trun,CH,0.6,Hydro,Run-of-river,,2005,,46.7435050176,8.98649363197,,"Renewable energy",Hydro,,,"- Kote Maschinensaalboden bezieht sich auf die Höhe der Turbinenachse; ",BFE
"Dardin (Casut)",,,,"Dardin, Casut",CH,0.4,Hydro,Run-of-river,,2008,,46.7573816308,9.04999337816,,"Renewable energy",Hydro,,,"- Trinkwasserkraftwerk; ",BFE
Brigels-Tavanasa,,,,Tavanasa,CH,12.5,Hydro,Run-of-river,,1960,,46.7580621697,9.07174622905,,"Renewable energy",Hydro,,,"- Ersatzenergie:	Abgabe an Repower AG als Realersatz für das stillgelegte Kraftwerk Waltensburg  ;                                    ; ",BFE
Ladral,,,,Waltensburg,CH,5.1,Hydro,Run-of-river,,1973,,46.771415734,9.11876991407,,"Renewable energy",Hydro,,,,BFE
"Ilanz 1 (Stufe Tavanasa)",,,,Ilanz,CH,34.5,Hydro,Run-of-river,,1990,,46.7747637594,9.1952255793,,"Renewable energy",Hydro,,,"- Zentralen Ilanz 1 und Ilanz 2 in einem Gebäude              ; ",BFE
"Ilanz 2 (Stufe Panix (Pigniu))",,,,Ilanz,CH,49.5,Hydro,Reservoir,,1992,,46.7747637594,9.1952255793,,"Renewable energy",Hydro,,,"- Zentralen Ilanz 1 und Ilanz 2 in einem Gebäude              ; ",BFE
"Seekraftwerk Zervreila",,,,"Vals, Staumauer Zervreila",CH,22,Hydro,Reservoir,,1999,,46.5789495911,9.1193155643,12W-0000000011-W,"Renewable energy",Hydro,,,"- Ampervreila und Peilerbach werden nur im Sommer genutzt (Zubringer-Pumpbetrieb)       ;                                          ; ",BFE
"Safien Platz",,,,"Safien Platz",CH,90,Hydro,Reservoir,,1997,,46.6778242878,9.31587383275,12W-0000000011-W,"Renewable energy",Hydro,,,,BFE
Rothenbrunnen,,,,Rothenbrunnen,CH,135,Hydro,Reservoir,,2011,,46.7658960254,9.41820114963,12W-0000000011-W,"Renewable energy",Hydro,,,,BFE
Rabiusa-Realta,,,,Rothenbrunnen,CH,26,Hydro,Run-of-river,,2004,,46.7649113824,9.41790308497,12W-0000000011-W,"Renewable energy",Hydro,,,,BFE
Lunschania,,,,"St. Martin, Lunschania",CH,0.94,Hydro,Run-of-river,,1996,,46.6601503473,9.18823038522,,"Renewable energy",Hydro,,,,BFE
Bargaus,,,,Sagogn,CH,2.82,Hydro,Run-of-river,,1963,,46.7931455833,9.27364512391,,"Renewable energy",Hydro,,,,BFE
"Punt Gronda (Segnas)",,,,Flims,CH,2.62,Hydro,Run-of-river,,2012,,46.8384516549,9.26509335259,,"Renewable energy",Hydro,,,"- Zentralen Punt Gronda (Segnas), Punt Gronda (Platt Alva) und Punt Gronda (Tarschlims) in einem Gebäude; ",BFE
"Punt Gronda (Platt Alva)",,,,Flims,CH,0.64,Hydro,Run-of-river,,2012,,46.8384516549,9.26509335259,,"Renewable energy",Hydro,,,"- Zentrale Punt Gronda (Platt Alva), Punt Gronda (Segnas) und Punt Gronda (Tarschlims) in einem Gebäude;  ; ",BFE
"Punt Gronda (Tarschlims)",,,,Flims,CH,0.3,Hydro,Run-of-river,,2013,,46.8384516549,9.26509335259,,"Renewable energy",Hydro,,,"- Zentrale Punt Gronda (Tarschlims), Punt Gronda (Platt Alva) und  Punt Gronda (Segnas) in einem Gebäude; - Trinkwasserkraftwerk; ",BFE
"Stenna (Flims) Flembach",,,,Flims,CH,1.73,Hydro,Run-of-river,,1999,,46.8337568535,9.28289622392,,"Renewable energy",Hydro,,,,BFE
"Flims, Felsbach (Karstwasser)",,,,Flims,CH,0.88,Hydro,Run-of-river,,2011,,46.8340905068,9.31765249379,,"Renewable energy",Hydro,,,"- Zentrale Flims, Felsbach (Karstwasser) und Zentrale Flims, Felsbach (Bergwasser) sind in einem Gebäude Felsbach			;   			;  ; 			;  ; ",BFE
"Flims, Felsbach (Bergwasser)",,,,Flims,CH,0.28,Hydro,Run-of-river,,2011,,46.8340905068,9.31765249379,,"Renewable energy",Hydro,,,"- Zentrale Flims, Felsbach (Bergwasser) und Zentrale Flims, Felsbach (Karstwasser) sind in einem Gebäude Felsbach		; ",BFE
Mulin,,,,"Trin Mulin",CH,1.6,Hydro,Run-of-river,,2004,,46.833447951,9.34018135796,,"Renewable energy",Hydro,,,,BFE
Pintrun,,,,Trin,CH,6.48,Hydro,Run-of-river,,1944,,46.8148577632,9.34883064445,,"Renewable energy",Hydro,,,,BFE
"Ferrera 1",,,,Ausserferrera,CH,180,Hydro,"Pumped storage",,2017,,46.5329177645,9.43419338513,12W-0000000016-H,"Renewable energy",Hydro,,,"- Zentralen Ferrera 1 und Ferrera 2 in einem Gebäude          ; ",BFE
"Ferrera 2",,,,Ausserferrera,CH,4.4,Hydro,Run-of-river,,2017,,46.5329177645,9.43419338513,12W-0000000016-H,"Renewable energy",Hydro,,,"- Zentralen Ferrera 1 und Ferrera 2 in einem Gebäude          ; ",BFE
Nufenen,,,,Nufenen,CH,0.3,Hydro,Run-of-river,,2009,,46.5430537927,9.24795177052,,"Renewable energy",Hydro,,,,BFE
"Splügen (Tambobach)",,,,Splügen,CH,1.8,Hydro,Run-of-river,,2012,,46.5459228175,9.30973326414,,"Renewable energy",Hydro,,,,BFE
