commissioning_date,municipality,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology,electrical_capacity,municipality_code,project_name,production,tariff,notification_date,contract_period_end,street,canton,company,lat,lon,data_source
2004-11-15,Thayngen,Renewable energy,Bioenergy,,übrige Biomasse - WKK-Anlage,0.1,8240,BHKW Winzeler Thayngen,474.82632000000007,,2008-05-02,,Erlengasse 16,SH,Winzeler GmbH,47.7396,8.7105,BFE
2004-11-24,Davos Dorf,Renewable energy,Bioenergy,,übrige Biomasse - WKK-Anlage,0.08,7260,Biogasanlage Davos,489.99221000000006,,2008-05-05,,Duchliweg 13,GR,Davos Biogas GmbH,46.7783,9.879,BFE
2006-01-01,Visp,Renewable energy,Bioenergy,,übrige Biomasse - WKK-Anlage,0.29,3930,Biogas Visp,1300.49462,,2008-05-10,,Grosseye 12,VS,Val Biogas GmbH,46.287,7.8669,BFE
2006-01-01,Frinvillier,Renewable energy,Hydro,,Diversion plant,0.35,2535,Wasserkraftanlage Frinvillier,1709.6016,,2008-05-05,,Rue du canal 41,BE,Hydroelectra AG,47.1685,7.2597,BFE
2006-01-09,Le Châble,Renewable energy,Bioenergy,,Biomass and biogas,0.112,1934,CCF Step de Profray Le Châble,452.81065,,2009-05-05,,Chemin de Profray 5,VS,Services Industriels de Bagnes (SIB),46.0822,7.2118,BFE
2006-02-16,Sonceboz-Sombeval,Renewable energy,Hydro,,Diversion plant,0.353,2605,PCH Sonceboz Sous les Roches,1622.7688900000003,,2008-05-02,,Sous les Roches,BE,Turbinor SA,47.1891,7.1815,BFE
2006-03-01,Altdorf,Renewable energy,Hydro,,Run-of-river,0.055,6460,KW Dorfbach,447.3764,,2008-05-02,,Gotthardstrasse 31,UR,Elektrizitätswerk Altdorf AG (EWA),46.8876,8.6412,BFE
2006-04-01,Lausanne,Renewable energy,Bioenergy,,Biomass and biogas,21.24,1005,B TRIDEL SA Lausanne,31059.31681,,2012-02-10,,Rue du Vallon 35,VD,Tridel SA,46.5199,6.6425,BFE
2006-04-01,Ottenbach,Renewable energy,Bioenergy,,übrige Biomasse - WKK-Anlage,0.36,8913,Kompogas-Anlage Ottenbach,1989.3501999999999,,2008-05-02,,Mülibach,ZH,Ökopower AG,47.2811,8.4086,BFE
2006-04-01,Zürich,Renewable energy,Bioenergy,,Biomass and biogas,19.6,8050,B ERZ Zürich - KHKW Hagenholz,50166.50656999999,,2013-12-17,,Hagenholzstrasse 110,ZH,ERZ,47.4119,8.5508,BFE
